design_no,laminate_code,page_no,assigned_value,finish_name,laminate
1322,AB,54,1322,,verticalwood
1466,AL,45,1466,,verticalwood
1161 (3),AR,28,11612,,stone solidcolor
1162 (2),AR,28,11622,glossy,stone solidcolor
1620,AR,28,1620,,stone
1630 (2),AR,28,16301,,stone
1669,AS,52,1669,,verticalwood
1670,AS,52,1670,,verticalwood
1675,AS,43,1675,,verticalwood
1676,AS,43,1676,,verticalwood
1677,AS,43,1677,,verticalwood
132 (9),AW,64,132200,,verticalwood solidcolor
491 (2),AW,64,4911,,verticalwood
492 (2),AW,64,4921,,verticalwood
839 (2),AW,64,8391,,verticalwood
1635 (2),BG,29,16351,,stone
1637 (2),BG,29,16371,,stone
1641,BG,35,1641,matt,stone vibrant
1642,BG,35,1642,matt,stone vibrant
1655,BG,29,1655,,stone
1721 (2),BG,30,17211,,vibrant
1722 (2),BG,30,17221,,vibrant
1725,BG,30,1725,,
1654A,BG,29,165410,,
1643,BL,36,1643,matt,leather
1644,BL,36,1644,matt,leather
1743,BM,,1743,,
1744,BM,,1744,,
1745,BM,,1745,,
1746,BM,,1746,,
54,BO,65,54,,
1653,BR,46,1653,,verticalwood
1685,BR,46,1685,,verticalwood
538,BW,66,538,,verticalwood
539,BW,66,539,,verticalwood
540,BW,66,540,,verticalwood
541,BW,66,541,,verticalwood
542,BW,66,542,,horizontalwood exoticwood
568,BW,,568,,
33 (2),CB,73,332,,leather
132 (9),CB,73,1324,,leather solidcolor
460,CC,77,460,,solidcolor vibrant
461,CC,77,461,,solidcolor vibrant
462,CC,77,462,,
463,CC,77,463,,solidcolor vibrant
1551,CE,30,1551,,stone 
1552,CE,30,1552,,stone
1553,CE,30,1553,,stone
26 (2),CF,81,261,,verticalwood
27 (3),CF,81,273,,verticalwood
39,CF,80,39,,verticalwood
40,CF,80,40,,verticalwood
41,CF,80,41,,verticalwood
48 (3),CF,82,483,,verticalwood
103,CF,84,103,,
106,CF,84,106,,solidcolor
109,CF,84,109,,solidcolor
114,CF,84,114,,solidcolor
117,CF,84,117,,solidcolor
127,CF,84,127,,
129 (3),CF,84,1293,,solidcolor
131,CF,84,131,,solidcolor
132 (9),CF,84,1328,,solidcolor
138 (2),CF,84,1382,,solidcolor
150,CF,84,150,,solidcolor
158,CF,84,158,,solidcolor
166,CF,84,166,,solidcolor
168,CF,84,168,,solidcolor
171,CF,84,171,,solidcolor
183,CF,84,183,,solidcolor
184 (2),CF,84,1842,,
187,CF,84,187,,solidcolor
203,CF,84,203,,solidcolor
207,CF,84,207,,solidcolor
209,CF,84,209,,solidcolor
212,CF,84,212,,solidcolor
214,CF,84,214,,solidcolor
216,CF,84,216,,solidcolor
217,CF,84,217,,solidcolor
218,CF,84,218,,
219,CF,84,219,,solidcolor
220,CF,84,220,,solidcolor
224,CF,84,224,,solidcolor
226,CF,84,226,,solidcolor
228,CF,84,228,,solidcolor
229,CF,84,229,,solidcolor
230,CF,84,230,,solidcolor
231 (2),CF,84,2312,,solidcolor
234,CF,84,234,,solidcolor
235,CF,84,235,,solidcolor
236 (2),CF,84,2362,,solidcolor
250 (3),CF,84,2502,,solidcolor
301,CF,77,301,,stone
302,CF,77,302,,stone
440 (3),CF,82,4403,matt,verticalwood
464,CF,77,464,,stone
470,CF,80,470,,verticalwood
471,CF,80,471,,verticalwood
472,CF,82,472,,verticalwood
473,CF,82,473,,verticalwood
474,CF,79,474,,verticalwood
475,CF,79,475,,verticalwood
476,CF,79,476,,verticalwood
477,CF,81,477,,verticalwood
478 (2),CF,82,4782,,horizontalwood
479 (2),CF,82,4792,,horizontalwood
480,CF,81,480,,verticalwood exoticwood
481,CF,79,481,,verticalwood
482,CF,79,482,,verticalwood
483 (2),CF,80,4832,,verticalwood
484 (2),CF,80,4842,,verticalwood
485 (2),CF,81,4852,,verticalwood
486,CF,81,486,,verticalwood
487,CF,79,487,,verticalwood
489,CF,79,489,,verticalwood
490,CF,80,490,,verticalwood
491 (2),CF,79,4912,,verticalwood
492 (2),CF,79,4922,,verticalwood
521,CF,82,521,,verticalwood
563,CF,81,563,,verticalwood
583 (2),CF,80,5832,,verticalwood
589,CF,79,589,,verticalwood
597,CF,81,597,,verticalwood
598,CF,81,598,,verticalwood
812,CF,80,812,,verticalwood
813,CF,80,813,,verticalwood
839 (2),CF,79,8392,,verticalwood
903 (2),CF,82,9032,,horizontalwood
904 (2),CF,82,9042,,horizontalwood
905 (3),CF,82,9053,,horizontalwood
923,CF,81,923,,verticalwood
935,CF,82,935,,verticalwood
952,CF,81,952,,verticalwood
953,CF,81,953,,verticalwood
986 (2),CF,82,9862,,horizontalwood exoticwood
987 (2),CF,82,9872,,horizontalwood exoticwood
992 (2),CF,80,9922,,verticalwood
053A,CF,84,5310,,solidcolor
053D (2),CF,84,53420,,solidcolor
117A,CF,84,11710,,solidcolor
132 (9),CM,84,1329,matt,solidcolor
250 (3),CM,84,2503,matt,solidcolor
1104 (4),CRYSTAL,3,11041,glossy,solidcolor
1105 (2),CRYSTAL,3,11051,glossy,solidcolor
1111 (2),CRYSTAL,4,11111,glossy,solidcolor
1112 (7),CRYSTAL,2,11121,glossy,solidcolor
1119 (2),CRYSTAL,1,11191,glossy,solidcolor
1120 (2),CRYSTAL,1,11201,glossy,solidcolor
1123 (4),CRYSTAL,2,11231,glossy,solidcolor
1141,CRYSTAL,4,1141,glossy,solidcolor
1142,CRYSTAL,4,1142,glossy,solidcolor
1143,CRYSTAL,3,1143,glossy,solidcolor
1161 (3),CRYSTAL,1,11611,matt glossy,solidcolor
1162 (2),CRYSTAL,1,11621,glossy,solidcolor
1163 (2),CRYSTAL,1,11631,glossy,solidcolor
1164 (4),CRYSTAL,1,11641,glossy,solidcolor
1165,CRYSTAL,1,1165,glossy,solidcolor
1166 (5),CRYSTAL,1,11661,glossy,solidcolor
1167,CRYSTAL,1,1167,glossy,solidcolor
1168,CRYSTAL,1,1168,glossy,solidcolor
1169,CRYSTAL,2,1169,glossy,solidcolor
1170,CRYSTAL,2,1170,glossy,solidcolor
1171,CRYSTAL,2,1171,glossy,solidcolor
1172 (2),CRYSTAL,2,11721,glossy,solidcolor
1173,CRYSTAL,4,1173,glossy,solidcolor
1174 (3),CRYSTAL,3,11741,,solidcolor
1175 (4),CRYSTAL,3,11751,glossy,solidcolor
1176 (2),CRYSTAL,3,11761,glossy,solidcolor
1177 (4),CRYSTAL,3,11771,glossy,solidcolor
1178 (2),CRYSTAL,2,11781,glossy,solidcolor
1179 (3),CRYSTAL,2,11791,glossy,solidcolor
1180 (3),CRYSTAL,4,11801,glossy,solidcolor
1181 (2),CRYSTAL,2,11811,glossy,solidcolor
1182,CRYSTAL,3,1182,glossy,solidcolor
1183 (2),CRYSTAL,3,11831,glossy,
1184 (2),CRYSTAL,4,11841,glossy,solidcolor
1185 (3),CRYSTAL,2,11851,glossy,solidcolor
1186 (2),CRYSTAL,4,11861,glossy,solidcolor
1187,CRYSTAL,2,1187,glossy,solidcolor
1188 (2),CRYSTAL,1,11881,glossy,solidcolor
1189,CRYSTAL,1,1189,glossy,solidcolor
1190,CRYSTAL,2,1190,glossy,solidcolor
1201,CRYSTAL,8,1201,glossy,stone vibrant
1202,CRYSTAL,8,1202,glossy,stone vibrant
1203,CRYSTAL,6,1203,glossy,stone
1204,CRYSTAL,6,1204,glossy,stone
1205,CRYSTAL,9,1205,glossy,vibrant
1206,CRYSTAL,9,1206,glossy,vibrant
1207,CRYSTAL,9,1207,glossy,vibrant
1208,CRYSTAL,6,1208,glossy,stone
1209,CRYSTAL,6,1209,glossy,stone
1210 (2),CRYSTAL,12,12101,glossy,verticalwood exoticwood
